{a0} hit {a1}	{a0} reach {a1}	39	7
{a0} eliminate {a1}	{a0} would eliminate {a1}	67	4
{a0} seek {a1}	{a0} shoot {a1}	38	7
{a0} to introduce {a1}	{a0} welcome {a1}	86	3
{a0} release {a1}	{a0} unveil {a1}	43	6
{a0} meet {a1}	{a0} tell {a1}	50	5
{a0} blast {a1}	{a0} slam {a1}	34	7
{a0} ask {a1}	{a0} want {a1}	34	7
{a0} deny {a1}	{a0} reject {a1}	47	5
{a0} get {a1}	{a0} take {a1}	47	5
{a0} block {a1}	{a0} put {a1}	78	3
{a0} should release {a1}	{a0} to release {a1}	39	6
{a0} offer {a1}	{a0} owe {a1}	46	5
{a0} ask {a1}	{a0} meet {a1}	38	6
{a0} be investigate {a1}	{a0} probe {a1}	38	6
{a0} add {a1}	{a0} bring {a1}	45	5
{a0} cut {a1}	{a0} would cut {a1}	45	5
{a0} fin {a1}	{a0} have be fin {a1}	56	4
{a0} give {a1}	{a0} have {a1}	31	7
{a0} ask for {a1}	{a0} want {a1}	36	6
{a0} confirm {a1}	{a0} launch {a1}	71	3
to introduce {a0} with {a1}	{a0} have {a1}	71	3
{a0} ask for {a1}	{a0} ask {a1}	53	4
{a0} tell {a1}	{a1} ask {a0}	30	7
{a0} be on {a1}	{a0} roam {a1}	51	4
{a0} ask {a1}	{a0} beg {a1}	67	3
{a0} get {a1}	{a0} move into {a1}	100	2
{a0} urge {a1}	{a0} warn {a1}	33	6
{a0} to lose {a1}	{a0} would lose {a1}	33	6
{a0} be get {a1}	{a0} have {a1}	98	2
{a0} create {a1}	{a0} welcome {a1}	65	3
{a0} create {a1}	{a0} introduce {a1}	48	4
{a0} roll back {a1}	{a0} roll {a1}	38	5
{a0} be acquire {a1}	{a0} buy {a1}	27	7
{a0} quit after {a1}	{a0} resign after {a1}	94	2
{a0} call for {a1}	{a0} propose {a1}	47	4
{a0} would cut {a1}	{a0} would eliminate {a1}	47	4
{a0} have be renew for {a1}	{a0} renew for {a1}	37	5
{a0} die at {a1}	{a0} have pass away at {a1}	92	2
{a0} have {a1}	{a0} introduce {a1}	46	4
{a0} meet with {a1}	{a0} tell {a1}	26	7
{a0} hit {a1}	{a0} rise to {a1}	30	6
{a0} have {a1}	{a0} near {a1}	30	6
chuck {a0} at {a1}	{a0} die at {a1}	89	2
{a0} block {a1}	{a0} freeze {a1}	44	4
{a0} face {a1}	{a0} have {a1}	35	5
{a0} tell {a1}	{a1} meet {a0}	24	7
{a0} cut {a1}	{a0} propose {a1}	27	6
{a0} have {a1}	{a0} move into {a1}	79	2
{a0} hide {a1}	{a0} launder {a1}	78	2
{a0} show via {a1}	{a0} show {a1}	26	6
{a0} meet {a1}	{a1} tell {a0}	26	6
{a0} lose {a1}	{a0} will lose {a1}	26	6
{a0} gain {a1}	{a0} have {a1}	31	5
{a0} call for {a1}	{a0} want {a1}	31	5
{a0} be at {a1}	{a0} have die at {a1}	31	5
{a0} commercialize {a1}	{a0} unveil {a1}	51	3
{a0} confirm {a1}	{a0} will pursue {a1}	50	3
{a0} dwindle to {a1}	{a0} fall {a1}	50	3
{a0} to be welcome on {a1}	{a1} introduce {a0}	50	3
{a0} have introduce {a1}	{a0} welcome {a1}	50	3
{a0} drop {a1}	{a0} fall {a1}	50	3
rip {a0} at {a1}	{a0} have die at {a1}	50	3
{a0} propose {a1}	{a0} want {a1}	30	5
{a0} owe {a1}	{a0} pay {a1}	30	5
{a0} say {a1}	{a0} tell {a1}	25	6
{a0} have {a1}	{a0} will get {a1}	74	2
{a0} get {a1}	{a0} will have {a1}	74	2
{a0} cut {a1}	{a0} would eliminate {a1}	37	4
{a0} could reverse {a1}	{a0} have {a1}	29	5
{a0} ask for {a1}	{a0} beg {a1}	48	3
{a0} have {a1}	{a0} reveal {a1}	36	4
{a0} have die at {a1}	{a0} pass at {a1}	36	4
{a0} ask {a1}	{a1} tell {a0}	24	6
{a0} find {a1}	{a0} say {a1}	24	6
{a0} have {a1}	{a0} lose {a1}	35	4
{a0} pay {a1}	{a0} seek {a1}	28	5
{a0} could reverse {a1}	{a0} make {a1}	28	5
{a0} would cut {a1}	{a0} would kill {a1}	28	5
{a0} have {a1}	{a0} propose {a1}	20	7
{a0} be get {a1}	{a0} will get {a1}	69	2
{a0} call on {a1}	{a0} tell {a1}	23	6
{a0} get {a1}	{a0} receive {a1}	23	6
{a0} push on {a1}	{a0} reject {a1}	68	2
{a0} criticize {a1}	{a0} owe {a1}	34	4
{a0} meet {a1}	{a1} send {a0}	34	4
{a0} introduce {a1}	{a1} to be welcome on {a0}	45	3
{a0} cut {a1}	{a0} eliminate {a1}	33	4
{a0} bring {a1}	{a0} pull {a1}	33	4
{a0} acquire {a1}	{a0} buy {a1}	22	6
{a0} be in {a1}	{a0} have {a1}	22	6
{a0} propose {a1}	{a0} would make {a1}	22	6
{a0} do {a1}	{a0} have {a1}	22	6
{a0} pay {a1}	{a0} write off {a1}	26	5
{a0} hunt {a1}	{a0} seek {a1}	26	5
{a0} pull {a1}	{a0} take {a1}	43	3
{a0} blast {a1}	{a0} call {a1}	43	3
{a0} have {a1}	{a0} play {a1}	43	3
{a0} be probe {a1}	{a0} investigate {a1}	43	3
{a0} be skip {a1}	{a0} will skip {a1}	64	2
{a0} meet {a1}	{a1} ask {a0}	32	4
to send {a0} to {a1}	{a0} head to {a1}	32	4
{a0} die at {a1}	{a0} pass away at {a1}	126	1
{a0} to trigger {a1}	{a0} will trigger {a1}	42	3
{a0} be add {a1}	{a0} welcome {a1}	42	3
{a0} ask {a1}	{a0} urge {a1}	21	6
{a0} take {a1}	{a0} will take {a1}	21	6
{a0} call {a1}	{a0} say {a1}	25	5
{a0} send {a1}	{a1} meet {a0}	31	4
{a0} push {a1}	{a0} put {a1}	61	2
{a0} to skip {a1}	{a0} will skip {a1}	61	2
{a0} bring {a1}	{a0} welcome {a1}	60	2
{a0} investigate {a1}	{a0} probe {a1}	30	4
{a0} accuse {a1}	{a0} blame {a1}	20	6
{a0} ask for {a1}	{a0} request {a1}	59	2
{a0} acknowledge {a1}	{a0} have {a1}	59	2
{a0} have {a1}	{a0} to get {a1}	39	3
{a0} ask {a1}	{a0} seek {a1}	29	4
{a0} accuse {a1}	{a0} tell {a1}	23	5
{a0} meet {a1}	{a0} to {a1}	23	5
visit with {a0} in {a1}	visit {a0} in {a1}	57	2
{a0} have instal {a1}	{a0} install {a1}	38	3
{a0} boot {a1}	{a0} kick {a1}	38	3
{a0} approve {a1}	{a0} clear {a1}	38	3
{a0} cut {a1}	{a0} unveil {a1}	19	6
{a0} cut {a1}	{a0} will kill {a1}	19	6
{a0} have {a1}	{a0} hit {a1}	28	4
{a0} ask {a1}	{a1} meet {a0}	28	4
{a0} join {a1}	{a1} welcome {a0}	37	3
{a0} confirm {a1}	{a0} reveal {a1}	37	3
{a0} add {a1}	{a0} put {a1}	37	3
{a0} introduce {a1}	{a0} will introduce {a1}	37	3
{a0} hit at {a1}	{a0} reject {a1}	55	2
{a0} meet with {a1}	{a1} meet {a0}	22	5
{a0} be impose {a1}	{a0} have establish {a1}	22	5
{a0} be bring {a1}	{a0} welcome {a1}	54	2
{a0} give {a1}	{a0} grant {a1}	36	3
{a0} include {a1}	{a0} propose {a1}	27	4
{a0} be in {a1}	{a0} take {a1}	18	6
{a0} compare {a1}	{a0} liken {a1}	53	2
{a0} shoot {a1}	{a0} tell {a1}	21	5
{a0} climb to {a1}	{a0} rise to {a1}	21	5
{a0} dismiss {a1}	{a0} reject {a1}	21	5
{a0} be not show {a1}	{a0} get {a1}	21	5
{a0} pull out of {a1}	{a0} withdraw from {a1}	21	5
{a0} find via {a1}	{a0} find {a1}	15	7
{a0} get {a1}	{a0} win {a1}	15	7
{a0} to lose {a1}	{a0} will lose {a1}	26	4
{a0} hold {a1}	{a0} keep {a1}	26	4
kill {a0} with {a1}	murder {a0} with {a1}	26	4
{a0} accuse {a1}	{a0} owe {a1}	26	4
{a0} call for {a1}	{a0} seek {a1}	34	3
{a0} mock {a1}	{a0} slam {a1}	50	2
{a0} begin {a1}	{a0} start {a1}	25	4
{a0} offer {a1}	{a0} pledge {a1}	25	4
{a0} slam {a1}	{a0} tell {a1}	25	4
{a0} ask {a1}	{a0} to {a1}	20	5
{a0} welcome {a1}	{a1} join {a0}	33	3
{a0} welcome {a1}	{a1} ask {a0}	33	3
{a0} meet with {a1}	{a0} welcome {a1}	33	3
to grab {a0} at {a1}	to steal {a0} at {a1}	48	2
{a0} name {a1}	{a0} to become {a1}	48	2
{a0} to become {a1}	{a0} will be {a1}	32	3
{a0} pay {a1}	{a0} want {a1}	24	4
send {a0} to {a1}	{a0} head to {a1}	24	4
{a0} ask {a1}	{a1} meet with {a0}	19	5
{a0} tap {a1}	{a0} wiretapped {a1}	19	5
{a0} can prevent {a1}	{a0} prevent {a1}	19	5
{a0} break with {a1}	{a0} see {a1}	19	5
{a0} seek {a1}	{a0} write off {a1}	19	5
{a0} will be down {a1}	{a0} will be {a1}	47	2
{a0} confirm {a1}	{a0} investigate {a1}	31	3
{a0} humiliate {a1}	{a0} leave {a1}	31	3
{a0} slash {a1}	{a0} would slash {a1}	46	2
{a0} drop {a1}	{a0} slip {a1}	46	2
{a0} leak {a1}	{a0} to release {a1}	23	4
{a0} be investigate {a1}	{a0} confirm {a1}	23	4
{a0} be skip {a1}	{a0} to skip {a1}	45	2
{a0} abuse {a1}	{a0} manipulate {a1}	30	3
{a0} begin {a1}	{a0} face {a1}	30	3
{a0} see {a1}	{a0} vote for {a1}	18	5
{a0} meet with {a1}	{a1} ask {a0}	18	5
{a0} make {a1}	{a0} seek {a1}	18	5
{a0} announce as {a1}	{a0} to become {a1}	88	1
{a0} call {a1}	{a0} insult {a1}	44	2
{a0} be find in {a1}	{a0} recover in {a1}	44	2
{a0} tell {a1}	{a0} welcome {a1}	44	2
{a0} deny {a1}	{a0} tell {a1}	22	4
{a0} look for {a1}	{a0} seek {a1}	22	4
{a0} announce {a1}	{a0} have {a1}	22	4
{a0} pull out {a1}	{a0} pull {a1}	22	4
{a0} make up {a1}	{a0} rely on {a1}	22	4
{a0} arrest on {a1}	{a0} hit with {a1}	29	3
{a0} owe {a1}	{a0} wo not apologize to {a1}	29	3
{a0} skip {a1}	{a0} will skip {a1}	43	2
{a0} freeze {a1}	{a0} put {a1}	43	2
{a0} confirm {a1}	{a0} say {a1}	42	2
{a0} buy {a1}	{a0} invest {a1}	21	4
{a0} fall to {a1}	{a0} sink to {a1}	21	4
{a0} criticize {a1}	{a0} should apologize to {a1}	21	4
{a0} contain {a1}	{a0} have {a1}	21	4
{a0} beat {a1}	{a0} defeat {a1}	21	4
{a0} call {a1}	{a0} slam {a1}	21	4
{a0} meet {a1}	{a1} meet with {a0}	21	4
{a0} have be give {a1}	{a0} have {a1}	21	4
accuse {a0} of {a1}	{a0} have establish {a1}	21	4
{a0} be in {a1}	{a0} get {a1}	14	6
{a0} die at {a1}	{a0} live until {a1}	82	1
{a0} be work out of {a1}	{a0} get {a1}	41	2
{a0} to hold {a1}	{a0} to meet for {a1}	41	2
{a0} be pay {a1}	{a0} receive {a1}	27	3
{a0} die at {a1}	{a0} turn {a1}	80	1
to soothe {a0} over {a1}	to soothe {a0} {a1}	40	2
{a0} add {a1}	{a0} introduce {a1}	20	4
{a0} leak {a1}	{a0} should release {a1}	20	4
{a0} find in {a1}	{a0} have be find in {a1}	20	4
{a0} accuse {a1}	{a0} slam {a1}	16	5
{a0} have {a1}	{a0} seek {a1}	16	5
{a0} have {a1}	{a0} want {a1}	16	5
{a0} see {a1}	{a0} should teach {a1}	16	5
{a0} have be record in {a1}	{a0} hit {a1}	16	5
{a0} find {a1}	{a0} take {a1}	16	5
{a0} die at {a1}	{a0} have pass at {a1}	79	1
{a0} announce {a1}	{a0} be write {a1}	39	2
{a0} announce {a1}	{a0} release {a1}	26	3
{a0} plan {a1}	{a0} propose {a1}	26	3
{a0} offer {a1}	{a0} vow {a1}	26	3
{a0} demand {a1}	{a0} want {a1}	13	6
in {a1} {a0}	{a0} have {a1}	11	7
{a0} to be {a1}	{a0} to become {a1}	38	2
to to introduce {a0} with {a1}	{a0} have {a1}	38	2
{a0} would eliminate {a1}	{a0} would kill {a1}	19	4
{a0} be at {a1}	{a0} hit {a1}	19	4
{a0} defend {a1}	{a0} double down on {a1}	19	4
{a0} treat {a1}	{a1} meet {a0}	19	4
{a0} call on {a1}	{a0} urge {a1}	19	4
{a0} do not have {a1}	{a0} lack {a1}	25	3
{a0} to be {a1}	{a0} will be {a1}	15	5
to trigger {a0} on {a1}	{a0} will be trigger on {a1}	37	2
{a0} be write {a1}	{a0} will release {a1}	37	2
{a0} address {a1}	{a0} respond to {a1}	36	2
{a0} would eliminate {a1}	{a0} would slash {a1}	24	3
{a0} assault {a1}	{a0} beat {a1}	24	3
{a0} borrow from {a1}	{a0} owe {a1}	24	3
{a0} have die at {a1}	{a0} have pass away at {a1}	24	3
{a0} face {a1}	{a0} get {a1}	18	4
{a0} propose {a1}	{a0} weigh {a1}	18	4
{a0} have {a1}	{a0} unveil {a1}	18	4
{a0} make {a1}	{a0} want {a1}	12	6
{a0} abuse {a1}	{a0} rap {a1}	12	6
lose in {a0} {a1}	{a0} cut {a1}	12	6
{a0} may doom {a1}	{a0} may move {a1}	35	2
ban {a0} on {a1}	{a0} ban on {a1}	35	2
{a0} be sentence to {a1}	{a0} get {a1}	14	5
{a0} could lose {a1}	{a0} will lose {a1}	14	5
{a0} make {a1}	{a0} pay {a1}	14	5
{a0} have {a1}	{a0} pay {a1}	14	5
{a0} get {a1}	{a0} to be give {a1}	23	3
{a0} work for {a1}	{a0} work with {a1}	23	3
{a0} be be send to {a1}	{a0} will travel to {a1}	23	3
{a0} find {a1}	{a0} intercept {a1}	23	3
{a0} owe {a1}	{a0} should apologise to {a1}	23	3
{a0} meet {a1}	{a0} press {a1}	23	3
{a0} beat {a1}	{a0} top {a1}	23	3
{a0} have {a1}	{a0} pitch {a1}	34	2
{a0} show {a1}	{a0} would be for {a1}	17	4
{a0} arrest {a1}	{a0} seek {a1}	17	4
{a0} be abandon {a1}	{a0} be change {a1}	17	4
{a0} find {a1}	{a0} see {a1}	17	4
{a0} hunt {a1}	{a0} shoot {a1}	17	4
{a0} to be trigger on {a1}	{a0} will be trigger on {a1}	33	2
{a0} be introduce {a1}	{a0} welcome {a1}	33	2
{a0} tell {a1}	{a0} testify before {a1}	22	3
{a0} introduce {a1}	{a0} unveil {a1}	22	3
{a0} can not quit {a1}	{a0} stand by {a1}	22	3
in {a0} {a1}	{a1} take {a0}	11	6
in {a1} {a0}	{a0} take {a1}	11	6
{a0} earn {a1}	{a0} make {a1}	11	6
in {a0} {a1}	{a1} have {a0}	11	6
{a0} break with {a1}	{a0} vote for {a1}	13	5
{a0} have release {a1}	{a0} unveil {a1}	13	5
{a0} blame {a1}	{a0} owe {a1}	13	5
{a0} reveal {a1}	{a0} unveil {a1}	13	5
{a0} push on {a1}	{a0} urge {a1}	13	5
{a0} pull {a1}	{a0} withdraw {a1}	13	5
{a0} meet with {a1}	{a0} testify before {a1}	32	2
{a0} bring {a1}	{a0} introduce {a1}	32	2
ban {a0} on {a1}	{a0} to be ban on {a1}	32	2
{a0} be add {a1}	{a0} introduce {a1}	32	2
{a0} be get {a1}	{a0} will have {a1}	32	2
{a0} have {a1}	{a0} suffer {a1}	32	2
{a0} be among {a1}	{a0} list {a1}	16	4
{a0} ask for {a1}	{a0} cut {a1}	16	4
{a0} take {a1}	{a0} win {a1}	16	4
touch {a0} to {a1}	{a0} pour in for {a1}	16	4
{a0} ask for {a1}	{a0} call for {a1}	16	4
{a0} reveal {a1}	{a0} show {a1}	16	4
{a0} would eliminate {a1}	{a0} would end {a1}	21	3
{a0} close at {a1}	{a0} hit {a1}	21	3
{a0} freeze {a1}	{a0} use {a1}	21	3
{a0} slash {a1}	{a0} would kill {a1}	21	3
{a0} would cut {a1}	{a0} would slash {a1}	21	3
{a0} confirm {a1}	{a0} testify on {a1}	21	3
{a0} face {a1}	{a0} repeat {a1}	21	3
{a0} slash {a1}	{a0} would boost {a1}	31	2
{a0} testify before {a1}	{a0} testify to {a1}	31	2
{a0} confirm {a1}	{a0} speak out about {a1}	30	2
{a0} react to {a1}	{a0} respond to {a1}	30	2
{a0} hit with {a1}	{a0} surrender on {a1}	30	2
{a0} put {a1}	{a0} rule against {a1}	30	2
{a0} call for {a1}	{a0} cut {a1}	20	3
{a0} bring {a1}	{a0} have {a1}	20	3
{a0} phone {a1}	{a0} tell {a1}	20	3
{a0} hack to {a1}	{a0} shoot to {a1}	20	3
{a0} have {a1}	{a0} receive {a1}	20	3
{a0} to pay {a1}	{a0} will pay {a1}	15	4
{a0} be grant {a1}	{a0} have {a1}	15	4
{a0} break {a1}	{a0} smash {a1}	15	4
{a0} cut {a1}	{a0} seek {a1}	15	4
{a0} pledge {a1}	{a0} vow {a1}	12	5
{a0} see {a1}	{a0} view {a1}	12	5
{a0} oks {a1}	{a0} search {a1}	12	5
{a0} find {a1}	{a0} show {a1}	12	5
{a0} die in {a1}	{a0} kill in {a1}	12	5
{a0} to {a1}	{a1} tell {a0}	12	5
{a0} make {a1}	{a0} must earn {a1}	12	5
{a0} tell {a1}	{a1} to {a0}	12	5
{a0} say {a1}	{a0} show {a1}	12	5
{a0} have {a1}	{a0} may have {a1}	12	5
{a0} become {a1}	{a0} will be {a1}	12	5
{a0} get {a1}	{a0} not show {a1}	12	5
in {a0} {a1}	{a1} be in {a0}	10	6
{a0} ask {a1}	{a0} call on {a1}	29	2
visit {a0} in {a1}	will go to {a0} in {a1}	29	2
{a0} add {a1}	{a0} will bring {a1}	29	2
{a0} pull from {a1}	{a1} pull {a0}	29	2
{a0} appoint {a1}	{a0} name {a1}	29	2
charge {a0} in {a1}	charge {a0} while in {a1}	29	2
{a0} miss {a1}	{a0} steal {a1}	19	3
{a0} be meet with {a1}	{a0} meet {a1}	19	3
{a0} welcome {a1}	{a1} meet {a0}	19	3
{a0} be close {a1}	{a0} list {a1}	19	3
{a0} slash {a1}	{a0} would end {a1}	19	3
{a0} block {a1}	{a0} rule against {a1}	19	3
{a0} eliminate {a1}	{a0} would slash {a1}	19	3
{a0} ask {a1}	{a1} welcome {a0}	28	2
{a0} arrest on {a1}	{a0} surrender on {a1}	28	2
{a0} ban {a1}	{a0} suspend {a1}	28	2
{a0} repeat {a1}	{a0} stand by {a1}	28	2
{a0} be work out of {a1}	{a0} have {a1}	28	2
{a0} do not see {a1}	{a0} see {a1}	28	2
inside {a0} spark {a1}	{a0} spark {a1}	28	2
{a0} bring {a1}	{a1} join {a0}	14	4
{a0} give {a1}	{a0} pay {a1}	14	4
{a0} have increase {a1}	{a0} propose {a1}	14	4
{a0} have {a1}	{a0} raise {a1}	14	4
{a0} pay {a1}	{a0} propose {a1}	14	4
{a0} have arrest {a1}	{a0} shoot {a1}	14	4
{a0} have {a1}	{a0} hold {a1}	14	4
stalk {a0} at {a1}	stalk {a0} in {a1}	14	4
{a0} search for {a1}	{a0} seek {a1}	11	5
{a0} be on {a1}	{a0} have {a1}	11	5
{a0} pay {a1}	{a0} spend {a1}	11	5
{a0} reverse {a1}	{a0} show {a1}	11	5
{a0} be put {a1}	{a0} bring {a1}	11	5
{a0} have {a1}	{a0} reach {a1}	11	5
{a0} be harm {a1}	{a0} will affect {a1}	11	5
{a0} find {a1}	{a0} have {a1}	11	5
to move {a0} from {a1}	to move {a0} out of {a1}	27	2
{a0} be bring {a1}	{a0} introduce {a1}	27	2
do donald {a0} {a1}	{a0} leak {a1}	18	3
{a0} jump to {a1}	{a0} rise to {a1}	18	3
{a0} receive {a1}	{a0} see {a1}	18	3
{a0} join {a1}	{a1} introduce {a0}	18	3
hit {a0} on {a1}	{a0} owe {a1}	18	3
{a0} will go to {a1}	{a0} will visit {a1}	18	3
to tackle {a0} with {a1}	{a1} have {a0}	18	3
{a0} have hike {a1}	{a0} raise {a1}	18	3
via {a0} have {a1}	{a0} have {a1}	18	3
{a0} bring {a1}	{a0} invite {a1}	18	3
{a0} press {a1}	{a0} tell {a1}	18	3
{a0} be change {a1}	{a0} be swap {a1}	18	3
{a0} grant {a1}	{a0} have be grant {a1}	18	3
{a0} quit over {a1}	{a0} resign over {a1}	18	3
{a0} approve {a1}	{a1} pass {a0}	9	6
{a0} blame {a1}	{a0} criticize {a1}	9	6
{a0} make {a1}	{a0} to become {a1}	53	1
{a0} move into {a1}	{a0} will get {a1}	26	2
{a0} snub {a1}	{a0} welcome {a1}	26	2
{a0} may to launch {a1}	{a0} may to trigger {a1}	26	2
{a0} be invest {a1}	{a0} to invest {a1}	26	2
{a0} be get {a1}	{a0} will work out of {a1}	26	2
{a0} accuse {a1}	{a0} say {a1}	13	4
{a0} wiretapped {a1}	{a1} owe {a0}	13	4
{a0} ask {a1}	{a1} deny {a0}	13	4
{a0} would cut {a1}	{a0} would end {a1}	13	4
{a0} reach {a1}	{a0} rise to {a1}	13	4
{a0} get {a1}	{a0} near {a1}	13	4
{a0} advise {a1}	{a0} tell {a1}	13	4
to tackle {a1} with {a0}	{a0} have {a1}	17	3
to oppose {a0} for {a1}	{a0} do not belong on {a1}	17	3
{a0} ask {a1}	{a0} will ask {a1}	17	3
{a0} have establish {a1}	{a0} impose {a1}	17	3
{a0} attack at {a1}	{a0} slash at {a1}	17	3
{a0} introduce {a1}	{a1} join {a0}	17	3
{a0} blast {a1}	{a0} criticize {a1}	17	3
{a0} leap to {a1}	{a0} rise to {a1}	25	2
{a0} will miss {a1}	{a0} will skip {a1}	25	2
{a0} fin {a1}	{a0} hit with {a1}	25	2
{a0} propose {a1}	{a0} release {a1}	25	2
{a0} give away {a1}	{a0} give {a1}	25	2
{a0} tell {a1}	{a0} tout {a1}	25	2
{a0} quit after {a1}	{a0} step down after {a1}	25	2
{a0} have spend {a1}	{a0} pay {a1}	10	5
{a0} have spend {a1}	{a0} write off {a1}	10	5
{a0} blame {a1}	{a0} should apologize to {a1}	10	5
{a0} be not {a1}	{a0} take {a1}	10	5
{a0} tell {a1}	{a0} would be among {a1}	10	5
{a0} face {a1}	{a0} will face {a1}	10	5
{a0} pull {a1}	{a1} pull from {a0}	24	2
{a0} shoot at {a1}	{a0} shoot in {a1}	24	2
{a0} be look for {a1}	{a0} seek {a1}	24	2
{a0} grab {a1}	{a0} raise {a1}	24	2
{a0} owe {a1}	{a0} wiretapped under {a1}	24	2
to trigger {a0} on {a1}	{a0} to be trigger on {a1}	24	2
{a0} ban {a1}	{a0} will ban {a1}	24	2
{a0} be look at {a1}	{a0} investigate {a1}	24	2
{a0} topple {a1}	{a0} unseat {a1}	16	3
{a0} be propose {a1}	{a0} seek {a1}	16	3
{a0} hack to {a1}	{a0} stab to {a1}	16	3
{a0} mock {a1}	{a0} parody {a1}	16	3
{a0} cut {a1}	{a0} would slash {a1}	16	3
{a0} be change {a1}	{a0} dump {a1}	16	3
{a0} launch {a1}	{a0} unveil {a1}	16	3
{a0} bring {a1}	{a0} point {a1}	16	3
{a0} ask {a1}	{a0} press {a1}	16	3
{a0} become {a1}	{a0} to be {a1}	12	4
{a0} meet {a1}	{a1} deny {a0}	12	4
{a0} cut {a1}	{a0} would kill {a1}	12	4
{a0} kick {a1}	{a0} tell {a1}	12	4
{a0} go off on {a1}	{a0} go on {a1}	12	4
{a0} gain {a1}	{a0} get {a1}	12	4
{a0} be abandon {a1}	{a0} be swap {a1}	12	4
{a0} deny {a1}	{a1} meet {a0}	12	4
{a0} make {a1}	{a0} use {a1}	12	4
{a0} rattle {a1}	{a0} would kill {a1}	12	4
{a0} call {a1}	{a0} know {a1}	12	4
{a0} receive {a1}	{a0} take {a1}	12	4
{a0} gain {a1}	{a0} near {a1}	12	4
{a0} take {a1}	{a0} would take {a1}	12	4
{a0} slash {a1}	{a0} take {a1}	12	4
{a0} leak {a1}	{a0} release {a1}	12	4
{a0} propose {a1}	{a0} slash {a1}	12	4
{a0} be in {a1}	{a0} be not in {a1}	12	4
{a0} go to {a1}	{a0} visit {a1}	8	6
{a0} be investigate {a1}	{a0} be look at {a1}	23	2
{a0} announce {a1}	{a0} approve {a1}	23	2
{a0} deny {a1}	{a0} welcome {a1}	23	2
{a0} be get {a1}	{a0} move into {a1}	23	2
to trigger {a0} on {a1}	{a0} will begin on {a1}	23	2
{a0} ask {a1}	{a0} endorse {a1}	15	3
{a0} could be put {a1}	{a0} could bring {a1}	15	3
{a0} slash {a1}	{a1} would be cut under {a0}	15	3
{a0} lie to {a1}	{a0} tell {a1}	15	3
{a0} add {a1}	{a0} open {a1}	15	3
to create {a0} from {a1}	to make {a0} from {a1}	15	3
{a0} rise to {a1}	{a0} surge to {a1}	15	3
{a0} lead {a1}	{a0} pay {a1}	15	3
{a0} eliminate {a1}	{a0} would end {a1}	15	3
{a0} kick {a1}	{a0} take {a1}	9	5
{a0} approve {a1}	{a0} back {a1}	9	5
{a0} pay {a1}	{a0} receive {a1}	9	5
{a0} say {a1}	{a0} see {a1}	9	5
{a0} deny {a1}	{a1} accuse {a0}	9	5
